"Date","Time","Identity","Internal IP Address","External IP Address","Action","Destination","Categories"
"2016-04-26","06:29:49","Barbara","10.164.117.205","195.245.90.57","Blocked","www.santillana.cl","Malware"
"2016-04-26","06:29:41","Nashville","10.164.34.158","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:29:39","Barbara","10.164.117.205","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:29:34","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:29:32","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:29:26","Savannah","10.165.115.176","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:28:57","Barbara","10.164.117.90","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:28:25","Nashville","10.166.129.83","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:27:46","Proxy13","10.164.50.177","198.203.192.126","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:26:57","Nashville","198.203.192.53","198.203.192.126","Blocked","bankofhewest.com","Malware"
"2016-04-26","06:26:39","Proxy13","10.164.50.177","198.203.192.126","Blocked","news.com.com","Blogs,News/Media,Webmail,Malware"
"2016-04-26","06:26:35","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:26:35","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:26:35","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:26:32","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:26:32","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:26:32","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:25:39","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:25:36","Nashville","198.203.192.53","198.203.192.126","Blocked","greeleyfurnace.com","Malware"
"2016-04-26","06:25:08","Savannah 6th Floor B Users ","10.167.16.126","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:25:06","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:25:04","Savannah 7th Floor A Users","10.167.7.90","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:24:37","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:24:31","Barbara","10.164.117.90","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:24:12","Barbara","10.164.117.27","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:24:07","Savannah 6th Floor A Users","10.167.6.20","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:23:59","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:23:03","Frankfurt","10.164.112.176","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:58","Barbara","10.164.117.201","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:39","Savannah 6th Floor A Users","10.167.6.20","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:29","Frankfurt","10.164.119.63","193.155.119.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:23","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:23","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:23","Savannah","10.165.0.46","198.203.191.14","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:23","Barbara","10.164.117.87","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:23","Barbara","10.164.117.87","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:23","Barbara","10.164.117.87","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:23","Barbara","10.164.117.87","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:23","Barbara","10.164.117.87","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:23","Barbara","10.164.117.87","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
"2016-04-26","06:22:23","Barbara","10.164.117.87","195.245.90.57","Blocked","www.googletagservices.com","FireEye"
